period,budget,surplus_rate,county_defense_strategy,strategic_behavior,budget_utilization
0,682472.1483406146,0.9323760460271975,0.6,1,0.06762395397280255
1,682472.1483406146,0.7149657382092088,0.6,0,0.28503426179079117
2,682472.1483406146,0.7471447241487307,0.0,0,0.2528552758512693
3,682472.1483406146,0.7085541317384677,1.0,0,0.2914458682615322
4,682472.1483406146,0.7022020850696359,1.0,0,0.29779791493036406
5,682472.1483406146,0.7197062576427269,1.0,0,0.2802937423572731
6,682472.1483406146,0.9214874424372839,1.0,0,0.07851255756271613
7,682472.1483406146,0.6748119192579721,1.0,0,0.3251880807420279
8,682472.1483406146,0.7656435928076312,1.0,0,0.2343564071923688
9,682472.1483406146,0.7384251592569073,1.0,0,0.26157484074309273
10,682472.1483406146,0.7336906175653493,1.0,0,0.26630938243465085
11,682472.1483406146,0.731816133873519,1.0,0,0.2681838661264811
12,682472.1483406146,0.7029530049139752,1.0,0,0.2970469950860249
13,682472.1483406146,0.6891309007241865,0.6,0,0.31086909927581347
14,682472.1483406146,0.9349298098681428,0.6,0,0.06507019013185725
15,682472.1483406146,0.6588704114009808,0.6,0,0.3411295885990192
16,682472.1483406146,0.6846635834976024,0.6,0,0.31533641650239763
17,682472.1483406146,0.9354523382490857,0.6,0,0.06454766175091443
18,682472.1483406146,0.6575918514956188,0.6,0,0.3424081485043811
19,682472.1483406146,0.7263734222094602,0.6,0,0.27362657779053984
20,682472.1483406146,0.7812213006997173,0.6,0,0.21877869930028282
21,682472.1483406146,0.7450295001150596,0.6,0,0.2549704998849403
22,682472.1483406146,0.7208097303427276,0.0,0,0.27919026965727234
23,682472.1483406146,0.7311454549923975,0.0,0,0.2688545450076026
24,682472.1483406146,0.714731244761254,0.0,0,0.2852687552387459
25,682472.1483406146,0.6907879100361476,0.0,0,0.3092120899638524
26,682472.1483406146,0.7155399085833959,0.0,0,0.2844600914166041
27,682472.1483406146,0.7738231690804761,1.0,0,0.22617683091952392
28,682472.1483406146,0.6951801139977053,1.0,0,0.30481988600229476
29,682472.1483406146,0.763018245583434,1.0,0,0.236981754416566
30,682472.1483406146,0.7239302842084497,1.0,0,0.27606971579155026
31,682472.1483406146,0.7280274504681268,1.0,0,0.2719725495318732
32,682472.1483406146,0.7851651479216837,1.0,0,0.21483485207831632
33,682472.1483406146,0.7586755299825753,1.0,0,0.24132447001742474
34,682472.1483406146,0.7870798341912078,1.0,0,0.2129201658087922
35,682472.1483406146,0.7409309182099959,1.0,0,0.2590690817900041
36,682472.1483406146,0.7359723641459803,1.0,0,0.26402763585401967
37,682472.1483406146,0.7579399545164531,1.0,0,0.24206004548354693
38,682472.1483406146,0.7473532910886876,1.0,0,0.2526467089113124
39,682472.1483406146,0.7390663967574369,0.6,0,0.26093360324256304
40,682472.1483406146,0.7206303852190884,0.6,0,0.27936961478091166
