period,treated,unserved_total,outflow_wait,outflow_full,outflow_mismatch,referral_success_rate,county_allocation_ratio,avg_referral_path_length,county_occupancy,secondary_occupancy,township_occupancy,county_inpatient_share,secondary_inpatient_share,township_inpatient_share
29,292,205,68,0,137,0.0,0.3,1.0,0.0,0.0,0.32274662292631884,0.0,0.0,0.1917808219178082
30,510,37,0,37,0,0.0,0.3,1.0,1.0633930517124512,0.0,0.2643393306888648,1.0,0.0,0.1609907120743034
31,422,29,0,28,1,0.0,0.3,1.0,0.9996241510404192,0.06313755216783866,0.2464605498412069,1.0,1.0,0.21285140562248997
32,399,33,0,0,33,0.0,0.3,1.0,0.6857345648151244,0.0,0.341614910123929,1.0,0.0,0.2158273381294964
33,378,15,0,0,15,0.0,0.3,1.0,0.7245467326561371,0.058071928003187015,0.2416476745876008,1.0,1.0,0.19583333333333333
34,378,13,0,0,13,0.0,0.3,1.0,0.7217539585199464,0.0,0.27429162880057356,1.0,0.0,0.21008403361344538
35,449,2,0,0,2,0.0,0.3,1.0,0.9254433923027258,0.257158929045773,0.29592492684548394,1.0,1.0,0.21107266435986158
36,381,30,0,0,30,0.0,0.3,1.0,0.6398740098226133,0.0,0.3459867948636505,1.0,0.0,0.2357142857142857
37,446,7,0,0,7,0.0,0.3,1.0,0.917852807403976,0.0,0.32996843889317096,1.0,0.0,0.2198581560283688
38,438,33,0,0,33,0.0,0.3,1.0,0.8583636852531351,0.0,0.35364411320868466,1.0,0.0,0.21782178217821782
39,428,62,0,0,62,0.0,0.3,1.0,0.7172216976488992,0.07909085685264447,0.42112583014333754,1.0,1.0,0.24437299035369775
40,489,31,0,6,25,0.0,0.3,1.0,0.9828467502228725,0.6101775384623509,0.27900347411967824,1.0,1.0,0.19528619528619529
41,317,181,30,0,151,0.0,0.3,1.0,0.0,0.0,0.34932581796609696,0.0,0.0,0.19873817034700317
42,483,56,0,56,0,0.0,0.3,1.0,1.0628816773341452,0.04184339982679928,0.2711798292814559,1.0,1.0,0.16932907348242812
43,441,22,0,17,5,0.0,0.3,1.0,0.9994373436560571,0.0,0.28686464602790274,1.0,0.0,0.2222222222222222
44,371,37,0,0,37,0.0,0.3,1.0,0.7998227539734815,0.04182813570627869,0.19593440753267666,1.0,1.0,0.19583333333333333
45,385,42,0,0,42,0.0,0.3,1.0,0.7475350189090507,0.0,0.2568160922625583,1.0,0.0,0.2087912087912088
46,395,34,0,0,34,0.0,0.3,1.0,0.7375243718424792,0.0,0.3239526411830442,1.0,0.0,0.26277372262773724
47,387,19,0,0,19,0.0,0.3,1.0,0.7653312355641259,0.038367192446289715,0.29297763713283115,1.0,1.0,0.20955882352941177
48,408,19,0,1,18,0.0,0.3,1.0,1.061716144261501,0.0,0.2833075331748883,1.0,0.0,0.2364341085271318
49,318,161,16,0,145,0.0,0.3,1.0,0.0,0.3131248157228654,0.30399283858383885,0.0,1.0,0.23548387096774193
50,436,80,0,80,0,0.0,0.3,1.0,0.9991763346797105,0.0,0.2606428055099892,1.0,0.0,0.19269102990033224
51,424,77,0,74,3,0.0,0.3,1.0,0.9998877762183932,0.009523809523809525,0.2668886423541894,1.0,1.0,0.20666666666666667
52,422,74,0,25,49,0.0,0.3,1.0,0.9990012093537911,0.0,0.2693319449990662,1.0,0.0,0.21180555555555555
