period,treated,unserved_total,outflow_wait,outflow_full,outflow_mismatch,referral_success_rate,county_allocation_ratio,avg_referral_path_length,county_occupancy,secondary_occupancy,township_occupancy,county_inpatient_share,secondary_inpatient_share,township_inpatient_share
0,231,175,0,20,155,0.0,0.5,1.0,0.0,0.9637179967358992,0.929376223966333,0.0,1.0,0.10185185185185185
1,507,32,0,7,25,0.0,0.5,1.0,0.9984858703174824,0.8292775900052127,0.9389244488586334,1.0,1.0,0.07569721115537849
2,402,25,0,0,25,0.0,0.5,1.0,0.758568964555461,0.8736542016887567,0.8861493139688961,1.0,1.0,0.08080808080808081
3,429,18,1,0,17,0.0,0.5,1.0,0.8637529846197166,0.9815448509223257,0.8074424240465368,1.0,1.0,0.08629441624365482
4,428,43,7,22,14,0.0,0.5,1.0,0.9998719684597048,0.9872512725566078,0.7902617179608376,1.0,1.0,0.0979381443298969
5,449,30,23,0,7,0.0,0.5,1.0,0.8279485676839919,0.9790315217120207,0.7504325266103543,1.0,1.0,0.05531914893617021
6,280,161,112,0,49,0.0,0.5,1.0,0.17684297145033787,0.0,0.701064265466184,1.0,0.0,0.084070796460177
7,468,24,0,11,13,0.0,0.5,1.0,0.9997763282659065,0.981469133331249,0.7291673159060685,1.0,1.0,0.07048458149779736
8,375,22,5,0,17,0.0,0.5,1.0,0.7043059744808897,0.9459238971059826,0.7386133573039195,1.0,1.0,0.09239130434782608
9,426,19,6,0,13,0.0,0.5,1.0,0.8295323039944497,0.9830987506229375,0.8620267356130394,1.0,1.0,0.08530805687203792
10,374,12,8,0,4,0.0,0.5,1.0,0.7803101755822432,0.7906727394971134,0.8724169778742675,1.0,1.0,0.10869565217391304
11,396,22,15,0,7,0.0,0.5,1.0,0.7758486240800774,0.9844566175862804,0.7518973893603998,1.0,1.0,0.10582010582010581
12,422,0,0,0,0,0.0,0.5,1.0,0.9058852358713354,0.1636897361724845,0.860102310670573,1.0,1.0,0.07766990291262135
13,435,8,0,8,0,0.0,0.5,1.0,0.9991023138969446,0.9803357900717712,0.4155605852247346,1.0,1.0,0.04020100502512563
14,263,182,102,4,76,0.0,0.5,1.0,0.13113110044594323,0.9885045946624952,0.517736303423118,1.0,1.0,0.04390243902439024
15,498,71,0,71,0,0.0,0.5,1.0,0.9992600436259071,0.7063844443136911,0.48230893330085134,1.0,1.0,0.04150943396226415
16,462,16,0,16,0,0.0,0.5,1.0,0.9997897219847196,0.6122906406683871,0.7825287160294703,1.0,1.0,0.08849557522123894
17,445,2,0,1,1,0.0,0.5,1.0,0.9371931292458703,0.9682263371179469,0.6410393134829896,1.0,1.0,0.09813084112149532
18,237,176,100,3,73,0.0,0.5,1.0,0.055590892170732535,0.3405138467124629,0.06022483041534042,1.0,1.0,0.08737864077669903
