t,median,q05,q95,q25,q75
2.700000000000000000e+01,2.370062365135005567e-01,2.370062365135005567e-01,2.370062365135005567e-01,2.370062365135005567e-01,2.370062365135005567e-01
2.800000000000000000e+01,2.439613520677262060e-01,2.439613520677262060e-01,2.439613520677262060e-01,2.439613520677262060e-01,2.439613520677262060e-01
2.900000000000000000e+01,2.196796333645774923e-01,2.196796333645774923e-01,2.196796333645774923e-01,2.196796333645774923e-01,2.196796333645774923e-01
3.000000000000000000e+01,2.526997834714907465e-01,2.526997834714907465e-01,2.526997834714907465e-01,2.526997834714907465e-01,2.526997834714907465e-01
3.100000000000000000e+01,1.815789468905817106e-01,1.815789468905817106e-01,1.815789468905817106e-01,1.815789468905817106e-01,1.815789468905817106e-01
3.200000000000000000e+01,2.334217500439741411e-01,2.334217500439741411e-01,2.334217500439741411e-01,2.334217500439741411e-01,2.334217500439741411e-01
3.300000000000000000e+01,2.394014956623404244e-01,2.394014956623404244e-01,2.394014956623404244e-01,2.394014956623404244e-01,2.394014956623404244e-01
3.400000000000000000e+01,2.235023036324831625e-01,2.235023036324831625e-01,2.235023036324831625e-01,2.235023036324831625e-01,2.235023036324831625e-01
3.500000000000000000e+01,2.511737083305781715e-01,2.511737083305781715e-01,2.511737083305781715e-01,2.511737083305781715e-01,2.511737083305781715e-01
3.600000000000000000e+01,2.180974472897971028e-01,2.180974472897971028e-01,2.180974472897971028e-01,2.180974472897971028e-01,2.180974472897971028e-01
3.700000000000000000e+01,2.523148142307527486e-01,2.523148142307527486e-01,2.523148142307527486e-01,2.523148142307527486e-01,2.523148142307527486e-01
3.800000000000000000e+01,1.719457009684486337e-01,1.719457009684486337e-01,1.719457009684486337e-01,1.719457009684486337e-01,1.719457009684486337e-01
3.900000000000000000e+01,2.125813444412552322e-01,2.125813444412552322e-01,2.125813444412552322e-01,2.125813444412552322e-01,2.125813444412552322e-01
4.000000000000000000e+01,2.312775325302257046e-01,2.312775325302257046e-01,2.312775325302257046e-01,2.312775325302257046e-01,2.312775325302257046e-01
4.100000000000000000e+01,2.279069762141698319e-01,2.279069762141698319e-01,2.279069762141698319e-01,2.279069762141698319e-01,2.279069762141698319e-01
4.200000000000000000e+01,2.134292560829034735e-01,2.134292560829034735e-01,2.134292560829034735e-01,2.134292560829034735e-01,2.134292560829034735e-01
4.300000000000000000e+01,1.857142852721088422e-01,1.857142852721088422e-01,1.857142852721088422e-01,1.857142852721088422e-01,1.857142852721088422e-01
4.400000000000000000e+01,2.235872230378692371e-01,2.235872230378692371e-01,2.235872230378692371e-01,2.235872230378692371e-01,2.235872230378692371e-01
4.500000000000000000e+01,1.473684206648199491e-01,1.473684206648199491e-01,1.473684206648199491e-01,1.473684206648199491e-01,1.473684206648199491e-01
4.600000000000000000e+01,2.320987648590153996e-01,2.320987648590153996e-01,2.320987648590153996e-01,2.320987648590153996e-01,2.320987648590153996e-01
4.700000000000000000e+01,2.019230764376849230e-01,2.019230764376849230e-01,2.019230764376849230e-01,2.019230764376849230e-01,2.019230764376849230e-01
4.800000000000000000e+01,2.148148142844078790e-01,2.148148142844078790e-01,2.148148142844078790e-01,2.148148142844078790e-01,2.148148142844078790e-01
4.900000000000000000e+01,2.472406175557602392e-01,2.472406175557602392e-01,2.472406175557602392e-01,2.472406175557602392e-01,2.472406175557602392e-01
5.000000000000000000e+01,1.832229576529294524e-01,1.832229576529294524e-01,1.832229576529294524e-01,1.832229576529294524e-01,1.832229576529294524e-01
5.100000000000000000e+01,1.973684206198060842e-01,1.973684206198060842e-01,1.973684206198060842e-01,1.973684206198060842e-01,1.973684206198060842e-01
5.200000000000000000e+01,1.940928265947408637e-01,1.940928265947408637e-01,1.940928265947408637e-01,1.940928265947408637e-01,1.940928265947408637e-01
5.300000000000000000e+01,1.964285709274781466e-01,1.964285709274781466e-01,1.964285709274781466e-01,1.964285709274781466e-01,1.964285709274781466e-01
5.400000000000000000e+01,1.777251180622627658e-01,1.777251180622627658e-01,1.777251180622627658e-01,1.777251180622627658e-01,1.777251180622627658e-01
5.500000000000000000e+01,1.878172584065551931e-01,1.878172584065551931e-01,1.878172584065551931e-01,1.878172584065551931e-01,1.878172584065551931e-01
5.600000000000000000e+01,1.658653842166697423e-01,1.658653842166697423e-01,1.658653842166697423e-01,1.658653842166697423e-01,1.658653842166697423e-01
5.700000000000000000e+01,1.910994759395301668e-01,1.910994759395301668e-01,1.910994759395301668e-01,1.910994759395301668e-01,1.910994759395301668e-01
5.800000000000000000e+01,1.485714281469387721e-01,1.485714281469387721e-01,1.485714281469387721e-01,1.485714281469387721e-01,1.485714281469387721e-01
5.900000000000000000e+01,1.979166661512586911e-01,1.979166661512586911e-01,1.979166661512586911e-01,1.979166661512586911e-01,1.979166661512586911e-01
6.000000000000000000e+01,1.816091949848064602e-01,1.816091949848064602e-01,1.816091949848064602e-01,1.816091949848064602e-01,1.816091949848064602e-01
6.100000000000000000e+01,1.947483584359992193e-01,1.947483584359992193e-01,1.947483584359992193e-01,1.947483584359992193e-01,1.947483584359992193e-01
6.200000000000000000e+01,1.733615218322166474e-01,1.733615218322166474e-01,1.733615218322166474e-01,1.733615218322166474e-01,1.733615218322166474e-01
6.300000000000000000e+01,1.777251180622627658e-01,1.777251180622627658e-01,1.777251180622627658e-01,1.777251180622627658e-01,1.777251180622627658e-01
6.400000000000000000e+01,1.713665939883587952e-01,1.713665939883587952e-01,1.713665939883587952e-01,1.713665939883587952e-01,1.713665939883587952e-01
6.500000000000000000e+01,1.734234230328301207e-01,1.734234230328301207e-01,1.734234230328301207e-01,1.734234230328301207e-01,1.734234230328301207e-01
6.600000000000000000e+01,1.505882349397923980e-01,1.505882349397923980e-01,1.505882349397923980e-01,1.505882349397923980e-01,1.505882349397923980e-01
6.700000000000000000e+01,1.836228283284793428e-01,1.836228283284793428e-01,1.836228283284793428e-01,1.836228283284793428e-01,1.836228283284793428e-01
6.800000000000000000e+01,1.626794254481353508e-01,1.626794254481353508e-01,1.626794254481353508e-01,1.626794254481353508e-01,1.626794254481353508e-01
6.900000000000000000e+01,1.421568623966743550e-01,1.421568623966743550e-01,1.421568623966743550e-01,1.421568623966743550e-01,1.421568623966743550e-01
7.000000000000000000e+01,1.530864193750952618e-01,1.530864193750952618e-01,1.530864193750952618e-01,1.530864193750952618e-01,1.530864193750952618e-01
7.100000000000000000e+01,1.931540337575695931e-01,1.931540337575695931e-01,1.931540337575695931e-01,1.931540337575695931e-01,1.931540337575695931e-01
7.200000000000000000e+01,1.650246301354073297e-01,1.650246301354073297e-01,1.650246301354073297e-01,1.650246301354073297e-01,1.650246301354073297e-01
7.300000000000000000e+01,1.750599516185612770e-01,1.750599516185612770e-01,1.750599516185612770e-01,1.750599516185612770e-01,1.750599516185612770e-01
7.400000000000000000e+01,1.356673957644039530e-01,1.356673957644039530e-01,1.356673957644039530e-01,1.356673957644039530e-01,1.356673957644039530e-01
7.500000000000000000e+01,1.546840955235640747e-01,1.546840955235640747e-01,1.546840955235640747e-01,1.546840955235640747e-01,1.546840955235640747e-01
7.600000000000000000e+01,1.599999996235294264e-01,1.599999996235294264e-01,1.599999996235294264e-01,1.599999996235294264e-01,1.599999996235294264e-01
7.700000000000000000e+01,1.681415925483593088e-01,1.681415925483593088e-01,1.681415925483593088e-01,1.681415925483593088e-01,1.681415925483593088e-01
7.800000000000000000e+01,1.725888320492669215e-01,1.725888320492669215e-01,1.725888320492669215e-01,1.725888320492669215e-01,1.725888320492669215e-01
7.900000000000000000e+01,1.421319793346904059e-01,1.421319793346904059e-01,1.421319793346904059e-01,1.421319793346904059e-01,1.421319793346904059e-01
8.000000000000000000e+01,1.932367145090900518e-01,1.932367145090900518e-01,1.932367145090900518e-01,1.932367145090900518e-01,1.932367145090900518e-01
8.100000000000000000e+01,1.331592685818295818e-01,1.331592685818295818e-01,1.331592685818295818e-01,1.331592685818295818e-01,1.331592685818295818e-01
8.200000000000000000e+01,1.820448873265713419e-01,1.820448873265713419e-01,1.820448873265713419e-01,1.820448873265713419e-01,1.820448873265713419e-01
8.300000000000000000e+01,1.521197003687788096e-01,1.521197003687788096e-01,1.521197003687788096e-01,1.521197003687788096e-01,1.521197003687788096e-01
8.400000000000000000e+01,1.659388642665090285e-01,1.659388642665090285e-01,1.659388642665090285e-01,1.659388642665090285e-01,1.659388642665090285e-01
