t,county_raw_q20,county_raw_q35,county_raw_q50,county_raw_q65,county_raw_q80,primary_raw_q20,primary_raw_q35,primary_raw_q50,primary_raw_q65,primary_raw_q80,county_ma_q20,county_ma_q35,county_ma_q50,county_ma_q65,county_ma_q80,primary_ma_q20,primary_ma_q35,primary_ma_q50,primary_ma_q65,primary_ma_q80
0,0.0,0.0,0.0,0.0,0.0,0.9999999955947138,0.9999999955947138,0.9999999955947138,0.9999999955947138,0.9999999955947138,0.0,0.0,0.0,0.0,0.0,0.9999999955947138,0.9999999955947138,0.9999999955947138,0.9999999955947138,0.9999999955947138
1,0.3997147942956446,0.40106951800165863,0.40106951800165863,0.41141732202476905,0.4165137607036445,0.5834862374614931,0.588582676006727,0.5989304802158102,0.5989304802158102,0.6002852039199144,0.2686096806451473,0.2699826739064108,0.27028614845279086,0.27362671812806927,0.28373281480310325,0.7162671823660965,0.7263732790233778,0.7297138487052566,0.7300173232521673,0.7313903165134308
2,0.4046067542869135,0.4078271018508713,0.4088785037175736,0.4122663541769478,0.4346277531701732,0.565372244598549,0.5877336434866036,0.5911214939459778,0.5921728958126801,0.5953932433411164,0.3263243703749956,0.3297201944300921,0.33199447872978016,0.3370812897053333,0.3413179696251074,0.6586820278032011,0.6629187077167048,0.6680055186821853,0.6702798029920628,0.6736756270004894
3,0.4294285705238445,0.43544857672768367,0.439824944332987,0.44406110703477913,0.44872449112122414,0.5512755067596213,0.5559388907966658,0.5601750534788291,0.5645514210841326,0.570571427369126,0.3392248308321955,0.3484065786543445,0.3520092761227216,0.3559546103812824,0.35965171728758344,0.6403482801501927,0.6440453871347508,0.6479907213853189,0.6515934187992821,0.6607751665729404
4,0.38827140062486937,0.40083236566982183,0.4135230186334947,0.4186550967057373,0.42552612674674856,0.5744738709631425,0.5813449011250653,0.5864769790750464,0.5991676320360946,0.6117285971216908,0.3572000473851555,0.3659827278508833,0.3694425348523711,0.37125294327996183,0.37577550002653537,0.6242244974334344,0.6287470541585839,0.6305574626112803,0.6340172696360532,0.642799950109615
5,0.40039136433042977,0.4109589031713267,0.4148589898879783,0.4179686364062681,0.429704432806938,0.5702955650498673,0.5820313612743714,0.5851410078263044,0.5890410945455683,0.5996086333811135,0.36986312382640835,0.3722455665600181,0.37648656272319114,0.3812472791414528,0.3837326333281438,0.6162673641287393,0.6187527183022947,0.623513434727976,0.6277544309491636,0.6301368735694437
6,0.389517117427919,0.394649496852291,0.3987757639293702,0.4013261020211487,0.41121859788181037,0.5887813997755019,0.5986738956569714,0.6012242335927926,0.6053505010078318,0.6104828802747687,0.37650636919649183,0.3789208259244063,0.382088166652743,0.3869321102246957,0.38814879477816744,0.6118512026743188,0.6130678872546836,0.6179118308653743,0.6210791715729604,0.6234936282678646
7,0.40251339973464617,0.41061665280808196,0.4182907753781919,0.43123487998477855,0.4501175056476469,0.5498824918969882,0.5687651176661328,0.5817092220683948,0.5893833447582424,0.5974865975345617,0.37973962173920145,0.3859209678748298,0.3874959004987562,0.3933988431503814,0.3956876160093585,0.6043123815113283,0.6066011543640286,0.6125040970370289,0.6140790296516684,0.6202603758113301
8,0.41473144593223565,0.4297277528612313,0.4340328049146648,0.4390996708152998,0.4443043975148017,0.5556955996571906,0.5609003268005738,0.5659671924466475,0.5702722445171277,0.585268551518294,0.37824487477383334,0.38568789406298376,0.3894549351729471,0.3911861856828404,0.396772160361368,0.6032278371699078,0.6088138118321961,0.6105450623486155,0.6143121034197102,0.621755122687667
9,0.40247594873010184,0.4207295803987799,0.43275791030723,0.43935047181429054,0.44958960214556587,0.5504103953236544,0.5606495256632432,0.5672420870296118,0.5792704172371379,0.5975240487139959,0.38221074005828437,0.38674745235980285,0.39193801661181005,0.39431115840362296,0.3989892856408133,0.6010107118911876,0.6056888391375936,0.6080619809074104,0.6132525451421447,0.6177892574132736
