run_id,ALPHA_Q_UPD,TAU_A_START,TAU_A_END,PATIENT_HABIT_STRENGTH,PATIENT_INFO_ASYMMETRY,WAIT_TOLERANCE_A0,score,n_targets_used,n_targets_in,pass_all,capacity_county_last,capacity_county_mean,capacity_primary_last,capacity_primary_mean,capacity_secondary_last,capacity_secondary_mean,capacity_township_last,capacity_township_mean,flow_share_county_mean,flow_share_primary_mean,insurance_county_share_mean,insurance_primary_share_mean,insurance_total_mean,referral_success_rate_mean,severity_county_mean,severity_primary_mean
0,0.2779400559924769,0.31363005742811856,0.06708023399535917,0.3911346798870775,0.07581667858403761,6.766433392843556,0.0005802131592484038,6,5,False,1200.0,1200.0,723.1802513672136,728.3477721487662,179.88545136721362,185.0529721487652,543.2948,543.2948000000011,0.38819952720355594,0.6118004703385769,0.7288493877284742,0.2711506122715257,173861.8454606925,0.0,0.6016383224133021,0.25138175017774916
1,0.2416619872545341,0.2510169169457068,0.06300826037014973,0.25972797103991857,0.08684116894884757,6.774645396180297,3.0470712380413853e-05,6,5,False,1200.0,1200.0,754.9789843699275,769.5811009841872,175.70898436992746,189.40870098418657,579.27,580.1723999999988,0.3972957494621801,0.6027042480898415,0.7361566411985039,0.26384335880149584,176896.5040384166,0.0,0.600922779754495,0.2514955869529162
2,0.24631838047865706,0.32396007585882014,0.045511479642456054,0.3415646703103712,0.12453097328344932,6.954150297706405,0.0038394282733836636,6,5,False,1200.0,1200.0,854.6201913229422,846.9049529412715,194.66301651686223,189.87520006786377,659.95717480608,657.0297528734068,0.36964439449439235,0.6303556029974033,0.714947123515761,0.2850528764842391,166564.09757577174,0.0,0.6081686255775659,0.2504244370456507
3,0.2353757187723941,0.3327835046359062,0.04954692569842522,0.26838816770447177,0.0791191614609866,8.65405183908036,0.00011751541652227376,6,5,False,1500.0,1500.0,825.2743162683003,813.6437076652207,192.5360762683002,181.3983976326101,632.73824,632.2453100326098,0.4481744011223568,0.5518255964897815,0.7728203815367618,0.2271796184632384,191327.6788948515,0.0,0.5834367939177207,0.24901944056230643
4,0.20487915847675228,0.3264800467883939,0.04925997086107819,0.28657937241574055,0.08290015955640197,6.41051891557013,4.634584882234839,6,2,False,107.44038018309662,173.57075913547212,750.0167611119584,749.8796294302844,140.87953621208646,140.74240453041287,609.137224899872,609.1372248998726,0.0582116045030267,0.9417883924860491,0.22710161045773483,0.7728983895422656,77853.3351890286,0.0,0.8015071219561655,0.2467814074595201
5,0.20622697848911922,0.3152903534626155,0.04352140955830372,0.369106127443573,0.11773658676431673,6.045648426502035,0.0,6,6,True,1500.0,1500.0,789.3440573788474,783.1926443993189,209.55981064320747,205.9357682296285,579.78424673564,577.2568761696905,0.44268950309895755,0.5573104945026975,0.7688399230428056,0.23116007695719457,189853.08389824588,0.0,0.5856089341488846,0.25117031046923644
6,0.21915057709472238,0.3135524583540237,0.054692960233461756,0.3555217181146787,0.09798939002624571,8.543977281343523,0.0003079923796352211,6,5,False,1500.0,1500.0,810.2187575067877,810.8355513816928,204.96293350678775,192.98551064569347,605.255824,617.8500407359998,0.4472232047204616,0.5527767929060614,0.771981835264204,0.2280181647357958,192149.39193599686,0.0,0.5826979623038681,0.24974706827560886
7,0.23733159650932212,0.3076752762621943,0.05249254422925978,0.246825036641614,0.09641673711330555,9.699449433266192,0.0,6,6,True,1200.0,1200.0,758.4894407708161,761.2876901927124,159.28988077081596,164.36861019271194,599.1995600000001,596.9190800000003,0.4000312247402525,0.5999687728182158,0.7386298560917962,0.2613701439082037,177825.64688734547,0.0,0.6000983792366528,0.2506936458402165
8,0.2355388195522616,0.2614594982861431,0.05341546351313467,0.35480792271233613,0.08122223303951567,7.999902100926912,0.0,6,6,True,1500.0,1500.0,762.1638258797643,743.0046249157534,200.77130987976426,181.61210891575462,561.3925160000001,561.392516,0.44438413746490085,0.5556158601319331,0.7698349738307847,0.23016502616921586,189687.04098130311,0.0,0.5840833519228303,0.2513204944917299
9,0.23596494703415727,0.2712488278664327,0.054597581197087915,0.336176306294912,0.10047776493243812,8.352834045403856,0.0008564767758523595,6,5,False,1128.0,1128.0,761.3213669459628,774.3580659430153,178.2213669459628,193.3964659430147,583.1,580.9615999999991,0.3856628306069655,0.614337166909115,0.7275545647572099,0.27244543524279025,172031.07079096773,0.0,0.6058347283977537,0.24975717547995455
